id,a,b,c
4393,1,5.98,x
4394,0.82,6.26,z
4395,0.9,6.42,z
4396,0.66,5.88,z
4397,0.4,8.15,x
4398,0.53,4.57,y
4399,0.5,5.11,x
4400,0.86,5.07,y
4401,0.25,7.64,y
4402,0.82,8.11,x
4403,0.36,2.11,x
4404,0.79,2.19,z
4405,0.91,6.49,z
4406,0.24,3.1,x
4407,0.72,1.31,z
4408,0,8.3,y
4409,0.76,5.21,x
4410,0.29,6.99,y
4411,0.34,3.13,y
4412,0.9,4.82,x
4413,0.88,5.87,y
4414,0.42,7.31,x
4415,0.82,5.78,y
4416,0.26,7.88,x
4417,0.58,5.87,x
4418,0.02,6.53,x
4419,0.4,7.97,y
4420,0.27,6.96,x
4421,0.2,5.99,x
4422,0.21,4.71,x
4423,0.12,6.15,z
4424,0.27,4.79,y
4425,0.09,7.32,z
4426,0.53,2.91,z
4427,0.27,3.27,z
4428,0.41,2.88,y
4429,0.68,1.2,z
4430,0.9,3.96,x
4431,0.3,5.3,z
4432,0.06,3.38,z
4433,0.76,5.11,z
4434,0.07,1.5,z
4435,0.61,4.16,y
4436,0.14,3.71,y
4437,0.24,5.57,x
4438,0.49,5.68,y
4439,0.54,4.94,z
4440,0.99,4.94,y
4441,0.6,5.57,z
4442,0.91,4.37,z
4443,0.24,4.39,y
4444,0.35,3.4,z
4445,0.96,2.87,y
4446,0.22,-0.32,z
4447,0.87,3.19,y
4448,0.9,7.83,z
4449,0.39,6.82,y
4450,0.62,6.97,x
4451,0.67,3.28,x
4452,0.34,6.76,z
4453,0.93,2.77,y
4454,0.48,7.98,y
4455,0.49,7.71,y
4456,0.88,2.88,x
4457,0.48,3.46,y
4458,0.46,5.02,z
4459,0.03,3.66,x
4460,0.58,7.98,z
4461,0.49,2.83,y
4462,0.78,5.81,x
4463,0.52,5.97,y
4464,0.29,4.17,y
4465,0.13,7.15,y
4466,0.02,1.26,x
4467,0.5,4.69,x
4468,0.49,5.48,z
4469,0.19,3.2,x
4470,0.89,3.79,y
4471,0.75,1.69,x
4472,0.43,4.92,z
4473,0.5,5.79,x
4474,0.75,9.52,y
4475,0.43,6.12,x
4476,0.29,6.59,x
4477,0.65,1.39,z
4478,0.18,3.17,y
4479,0.17,5.52,y
4480,0.67,4.09,x
4481,0.36,10.19,y
4482,0.35,0.75,y
4483,0.62,4.36,x
4484,0.8,4.81,z
4485,0.24,3.32,x
4486,0.83,3.54,z
4487,0.67,5.01,y
4488,0.34,4.2,x
4489,0.23,6.56,y
4490,0.54,2.83,x
4491,0.51,3.59,x
4492,0.82,4.26,z
4493,0.71,8.86,z
4494,0.93,3.16,z
4495,0.1,4.54,y
4496,0.35,2.15,z
4497,0.72,6.52,y
4498,0.31,5.43,y
4499,0.85,6.42,x
4500,0.38,6.89,y
4501,0.41,4.91,y
4502,0.89,5.77,x
4503,0.21,5.18,y
4504,0.23,4.86,z
4505,0.3,5.5,z
4506,0.26,2.68,x
4507,0.7,4.65,x
4508,0.4,6.98,z
4509,0.29,8.02,x
4510,0.1,4.29,x
4511,0.01,4.26,y
4512,0.34,7.05,x
4513,0.95,6.49,z
4514,0.34,4.94,x
4515,0.97,3.31,y
4516,0.52,7.01,x
4517,0.01,3.94,z
4518,0.75,3.59,x
4519,0.09,5.42,y
4520,0.94,6.52,y
4521,0.25,6,z
4522,0.79,2.43,y
4523,0.79,7.78,x
4524,0.1,4.96,z
4525,0.72,6.22,y
4526,0.93,5.6,z
4527,0.05,4.19,y
4528,0.79,5.34,x
4529,0.33,2.98,y
4530,0.53,5.14,z
4531,0.84,5.91,y
4532,0.91,8.28,y
4533,0.57,4.99,z
4534,0.71,6.51,z
4535,0.63,3.97,y
4536,0.48,3.02,z
4537,0.57,9.04,z
4538,0.28,3.44,z
4539,0.95,4.98,x
4540,0.81,4.65,y
4541,0.38,4.61,z
4542,0.01,5.69,x
4543,0.98,2.04,z
4544,0.44,6.87,x
4545,0.16,8.15,y
4546,0.13,6.48,x
4547,0.06,5.41,x
4548,0.02,1.98,x
4549,0.26,4.48,x
4550,0.59,2.34,z
4551,0.21,2.39,x
4552,0.45,4.59,y
4553,0.33,4.26,x
4554,0.02,1.14,x
4555,0.4,4.98,y
4556,0.39,1.92,y
4557,0.08,2.15,y
4558,0.66,5.55,x
4559,0.25,5.84,y
4560,0.74,3.45,z
4561,1,3.9,x
4562,0.62,6.24,y
4563,0.74,2.67,x
4564,0.76,4.88,y
4565,0.41,3.76,y
4566,0.58,6.93,y
4567,0.98,4.44,x
4568,0.64,4.11,z
4569,0.85,7.67,x
4570,0.45,2.63,z
4571,0.87,9.02,y
4572,0.15,2.01,y
4573,0.5,3.96,z
4574,0.6,5.67,x
4575,0.54,3.41,x
4576,0.82,5.54,y
4577,0.87,4.26,x
4578,0.99,6.2,z
4579,0.18,5.95,x
4580,0.33,5.82,y
4581,0.38,1.69,z
4582,0.5,6.41,y
4583,0.59,8.08,x
4584,0.02,6.63,z
4585,0.41,3.54,y
4586,0.21,4.83,y
4587,0.59,6.2,x
4588,0.9,7.74,y
4589,0.94,4.92,x
4590,0.4,6.2,x
4591,0.96,4.6,y
4592,0.72,8.29,y
4593,0.19,5.83,y
4594,0.09,1.82,x
4595,0.53,5.48,z
4596,0.17,2.68,z
4597,0.28,3.37,z
4598,0.51,5.66,x
4599,0.54,4.55,z
4600,0.59,5.59,x
4601,0.43,3.33,z
4602,0.38,6.37,y
4603,0.81,3.36,z
4604,0.58,5.43,x
4605,0.55,8.7,x
4606,0.26,6.34,x
4607,0.7,5.5,z
4608,0.12,3.68,x
4609,0.65,6.68,z
4610,0.7,4.59,z
4611,0.06,3.17,x
4612,0.92,8.35,z
4613,0.72,3.6,x
4614,0.57,8.64,x
4615,0.56,5.5,z
4616,0.47,5.42,y
4617,0.3,6.35,z
4618,0.38,7.93,x
4619,0.06,8,x
4620,0.92,3.04,x
4621,0.2,4.15,z
4622,0.86,2.47,z
4623,0.15,2.53,z
4624,0.92,6.84,z
4625,0.89,3.37,y
4626,0.73,3.69,x
4627,0.77,6.5,x
4628,0.61,6.49,y
4629,0.78,5.56,z
4630,0.69,3.12,z
4631,0.57,5.97,y
4632,0.6,1.81,z
4633,0.4,3.83,z
4634,0.12,4.68,x
4635,0.23,8.46,z
4636,0.98,6.33,y
4637,0.39,4.73,y
4638,0.13,2.96,z
4639,0.94,7.69,z
4640,0.83,5.07,y
4641,0.66,3.84,y
4642,0.11,3.91,y
4643,0.43,5.29,y
4644,0.19,3.03,y
4645,0.43,5.85,y
4646,0.24,6.92,z
4647,0.49,3.52,z
4648,0.12,8.58,y
4649,0.91,4.33,y
4650,0.47,8.04,y
4651,0.36,6.12,x
4652,0.2,9.26,x
4653,0.22,3,y
4654,0.56,3.35,z
4655,0.58,3.55,z
4656,0.98,4.6,y
4657,0.65,6.32,x
4658,0.77,1.34,z
4659,0.83,4.53,z
4660,0.05,6.6,x
4661,0.22,6.28,z
4662,0.68,2.48,z
4663,0.67,5.71,z
4664,0.53,4.29,x
4665,0.45,6.59,z
4666,0.97,2.42,z
4667,0.24,6.61,z
4668,0.69,10.06,y
4669,0.14,5.64,x
4670,0.4,3.37,y
4671,0.08,6.93,x
4672,0.1,5.5,x
4673,0.5,8.1,x
4674,0.52,6.77,z
4675,0.24,5.91,y
4676,0.88,3.19,z
4677,0.38,11.75,x
4678,0.19,6.16,y
4679,0.31,4,x
4680,0.22,5.96,y
4681,0.98,5.34,y
4682,0.84,4.99,y
4683,0.95,7.09,z
4684,0.82,8.11,y
4685,0.24,6.16,y
4686,0.39,4.12,x
4687,0.98,4.71,z
4688,0.31,3.8,x
4689,0.15,5.96,z
4690,0.39,3.85,y
4691,0.89,0.16,x
4692,0.87,0.9,x
4693,0.62,3.6,x
4694,0.52,8.93,z
4695,0.26,4.94,x
4696,0.6,9.64,x
4697,0.19,7.98,z
4698,0.95,6.26,x
4699,0.83,4.29,y
4700,0.81,7.41,z
4701,0.83,4.99,y
4702,0.89,8.67,x
4703,0.17,3.32,z
4704,0.96,6.79,y
4705,0.79,3.32,x
4706,0.38,6.33,x
4707,0.79,7.23,z
4708,0.46,2.36,x
4709,0.22,6.05,z
4710,0.87,8.27,z
4711,0.02,6.3,x
4712,0.68,5.25,y
4713,0.44,6.18,y
4714,0.31,4.67,z
4715,0.35,6.7,z
4716,0.59,4.76,x
4717,0.3,6.13,y
4718,0.24,6,y
4719,0.93,3.71,z
4720,0.64,8.53,z
4721,0.51,2.33,y
4722,0.17,4.75,x
4723,0.68,0.23,y
4724,0.41,6.59,x
4725,0.52,6.43,x
4726,0.92,4.68,x
4727,0.93,3.35,z
4728,0.37,9.78,y
4729,0.75,4.24,x
4730,0.24,4.04,y
4731,0.72,6.28,y
4732,0.72,5.6,y
4733,0.07,7,y
4734,0,8.02,y
4735,0.64,8.01,y
4736,0.54,5.42,x
4737,0.8,3.7,z
4738,0.58,3.03,x
4739,0.47,6.12,x
4740,0.99,5.43,y
4741,0.99,7.74,z
4742,0.29,1.44,x
4743,0.71,7.63,x
4744,0.21,6.09,y
4745,0.16,7.33,y
4746,0.99,1.9,x
4747,0.82,4.29,z
4748,0.64,3.86,z
4749,0.56,4.86,z
4750,0.5,4.71,y
4751,0.38,2.86,y
4752,0.7,5.38,y
4753,0.52,5.86,z
4754,0.33,3.94,z
4755,0.61,6.83,y
4756,0.11,5.91,y
4757,0.6,6.71,x
4758,0.78,8.12,x
4759,0.53,4.21,y
4760,0.54,2.3,z
4761,0.48,5.78,x
4762,0.46,3.54,x
4763,0.78,4.48,y
4764,0.36,2.49,y
4765,0.96,3.99,z
4766,0.21,5.44,y
4767,0.41,5.03,z
4768,0.63,4.73,y
4769,0.54,2.57,z
4770,0.17,9.02,x
4771,0.7,3.27,z
4772,0.69,1.99,y
4773,0.53,5.37,y
4774,0.89,4.74,x
4775,0.32,4.84,x
4776,0.83,0.89,z
4777,0.78,8.18,x
4778,0.09,3.17,y
4779,0.95,3.94,y
4780,0.55,2.74,z
4781,0.82,0.98,x
4782,0.5,6.68,y
4783,0.71,6.49,z
4784,0.82,2.57,z
4785,0.11,1.65,x
4786,0.65,6.4,x
4787,0.43,6.02,x
4788,0.1,4.88,z
4789,0.08,1.82,z
4790,0.37,4.76,x
4791,0.52,4.69,x
4792,0.87,5.37,x
4793,0.12,3.43,x
4794,0.83,2.25,z
4795,0.89,3.91,y
4796,0.97,2.82,z
4797,0.67,6.01,y
4798,0.16,3.92,x
4799,0.32,2.17,z
4800,0.25,4.24,y
4801,0.91,6.41,y
4802,0.35,4.57,x
4803,0.37,2.63,y
4804,0.84,3.38,z
4805,0.13,8.29,y
4806,0.54,6.75,x
4807,0.52,2.01,y
4808,0.93,4.91,y
4809,0.77,4.97,x
4810,0.71,2.66,x
4811,0.08,3.97,z
4812,0.56,2.88,x
4813,0.2,9.54,z
4814,0.97,2.16,z
4815,0.87,4.66,z
4816,0.7,5.48,x
4817,0.28,2.78,y
4818,0.76,3.66,z
4819,0.95,9.39,y
4820,0.51,3.29,z
4821,0.82,2.99,x
4822,0.43,6.05,z
4823,0.61,3.96,x
4824,0.24,7.71,z
4825,0.36,6.11,y
4826,0.1,5.14,z
4827,0.21,6.23,z
4828,0.41,7.37,z
4829,0.55,4.31,z
4830,0.51,3.79,y
4831,0.58,5.23,x
4832,0.97,5.31,y
4833,0.69,9.03,z
4834,0.88,6.93,z
4835,0.7,5.94,z
4836,0.36,2.72,z
4837,0.87,5.52,x
4838,0.82,5.93,y
4839,0.69,8.32,y
4840,0.14,3.72,x
4841,0.11,5.45,y
4842,0.55,6.49,z
4843,0.28,5.7,x
4844,0.68,2.22,z
4845,0.86,5.16,z
4846,0.04,4.93,x
4847,0.26,2.69,x
4848,0.88,5.17,x
4849,0.76,3.55,y
4850,0.25,3.19,x
4851,0.37,4.12,y
4852,0.04,9.03,z
4853,0.9,5.35,z
4854,0.11,5.76,y
4855,0.46,3.96,x
4856,0.02,2.6,x
4857,0.45,4.45,x
4858,0.34,3.17,y
4859,0.34,6.4,x
4860,0.8,4.91,y
4861,0.1,5.51,x
4862,0.29,8.49,z
4863,0.53,5.19,x
4864,0.11,4.8,x
4865,0.54,1.4,x
4866,0.37,6.72,y
4867,0.98,9.38,z
4868,0.5,2.71,x
4869,0.09,6.84,z
4870,0.6,6.15,z
4871,0.24,6.75,z
4872,0.67,4.81,z
4873,0,6.57,y
4874,0.4,4.8,z
4875,0.91,9.53,z
4876,0.47,4.36,z
4877,0.64,7.91,x
4878,0.87,4.87,z
4879,0.68,5.71,z
4880,0.94,3.93,y
4881,0.95,4.84,y
4882,0.2,6.04,z
4883,0.78,4.32,y
4884,0.69,3.37,z
4885,0.78,4.17,z
4886,0.51,9.04,z
4887,0.37,5.42,y
4888,0.91,2.72,z
4889,0.85,4.26,x
4890,0.82,6.85,y
4891,0.2,6.19,y
4892,0.86,3.35,y
4893,0.52,6.78,z
4894,0.38,8.69,x
4895,0.94,5.58,x
4896,0.85,7.92,x
4897,0.86,4.96,x
4898,0.76,6.58,z
4899,0,4.34,y
4900,0.1,10.29,y
4901,0.42,5.11,x
4902,0.18,7.25,x
4903,0.8,5.66,x
4904,0.92,6.89,z
4905,0.27,8.64,y
4906,0.32,3.43,z
4907,0.58,2.33,y
4908,0.91,6.41,y
4909,0.74,4.38,x
4910,0.75,6.91,x
4911,0.64,5.58,y
4912,0.14,7.77,y
4913,0.49,3.24,x
4914,0.29,8.61,y
4915,0.15,4.04,y
4916,0.1,2.98,y
4917,0.62,5.48,y
4918,0.58,4.72,y
4919,0.16,5.41,x
4920,0,3.91,y
4921,0.23,6.66,z
4922,0.89,5.64,z
4923,0.8,4.04,x
4924,0.61,8.41,x
4925,0.79,4.4,z
4926,0.79,8.16,y
4927,0.54,7.74,y
4928,0.41,5.56,y
4929,0.75,6.22,x
4930,0.92,7.56,y
4931,0.5,4.72,y
4932,0.9,5.58,y
4933,0.36,6.13,z
4934,0.16,8.86,x
4935,0.88,4.37,y
4936,0.47,7.25,x
4937,0.02,9.56,y
4938,0.82,0.77,z
4939,0.04,6.28,x
4940,0.07,3.49,x
4941,0.48,2.62,x
4942,0.47,4.77,y
4943,0.28,3.77,x
4944,0.21,8.29,y
4945,0.62,7.45,z
4946,0.06,4.97,x
4947,0.28,6.63,y
4948,0.98,5.88,y
4949,0.93,8.18,y
4950,0.57,4.24,x
4951,0.1,9.76,z
4952,0.7,5.16,y
4953,0.47,2.19,z
4954,0.55,5.51,y
4955,0.94,1.64,z
4956,0.06,3.75,z
4957,0.32,4.76,z
4958,0.53,6.8,x
4959,0.05,6.85,z
4960,0.91,6.67,x
4961,0.97,6.31,y
4962,0.92,6.32,y
4963,0.59,4.3,x
4964,0.3,4.69,y
4965,0.42,2.97,y
4966,0.94,2.62,y
4967,0.19,6.48,x
4968,0.93,9.06,y
4969,0.32,3.01,x
4970,0.79,4.05,y
4971,0.87,5.63,x
4972,0.95,3.03,z
4973,0.35,2.42,x
4974,0.84,2.37,y
4975,0.85,7.95,z
4976,0.7,5.58,x
4977,0.37,2.13,y
4978,0.03,6.14,z
4979,0.9,2.83,z
4980,0.75,4.14,z
4981,0.37,4.65,z
4982,0.53,5.82,y
4983,0.91,5.69,z
4984,0.2,5.2,z
4985,0.22,5.35,y
4986,0.85,2.79,z
4987,0.75,3.74,y
4988,0.16,7.34,y
4989,0.73,6.81,x
4990,0.91,8.42,z
4991,0.99,6.02,y
4992,0.43,4.77,x
4993,0.78,4.17,x
4994,0.09,5.87,y
4995,0.04,3.6,z
4996,0.56,5.43,y
4997,0.46,6.47,z
4998,0.1,6.51,y
4999,0.42,6.6,z
5000,0.09,4.89,z
5001,0.3,2.56,y
5002,0.04,2.6,z
5003,0.36,4.01,y
5004,0.25,5.13,y
5005,0.88,4.89,x
5006,0.32,5.51,z
5007,0.32,5.8,z
5008,0.85,6.31,z
5009,0.38,3.77,y
5010,0.28,5.01,x
5011,0.92,2.3,x
5012,0.88,9.59,x
5013,0.33,4.52,z
5014,0.09,6.91,x
5015,0.2,6.34,x
5016,0.18,6.45,y
5017,0.49,2.97,z
5018,0.14,1.05,x
5019,0.56,2.11,y
5020,0.07,5.8,x
5021,0.92,6.9,x
5022,0.28,2.05,z
5023,0.03,4.21,z
5024,0.45,6.24,z
5025,0.52,6.61,y
5026,0.24,4.79,y
5027,0.88,5.56,x
5028,0.5,7.66,x
5029,0.38,6.46,z
5030,0.84,6.48,x
5031,0.78,4.38,x
5032,0.83,3.34,x
5033,0.31,3.46,z
5034,0.04,4.31,z
5035,0.78,5.46,y
5036,0.62,3.18,x
5037,0.21,3.31,y
5038,0.13,3.56,x
5039,0.96,4.07,x
5040,0.43,2.59,y
5041,0.64,3.64,z
5042,0.51,5.83,y
5043,0.67,2.45,x
5044,0.25,2.58,x
5045,0.1,4.89,x
5046,0.21,6.01,z
5047,0.46,3.71,x
5048,0.55,6.2,x
5049,0.89,2.5,z
5050,0.53,3.24,y
5051,0.67,4.2,y
5052,0.04,6.09,x
5053,0.35,7.63,y
5054,0.17,3.92,z
5055,0.52,4.16,y
5056,0.9,2.75,y
5057,0.72,3.59,y
5058,0.28,7.42,y
5059,0.33,6.35,y
5060,0.71,5.85,x
5061,0.22,4.47,y
5062,0.42,7.34,y
5063,0.94,3.65,x
5064,0.25,5.13,y
5065,0.05,5.68,y
5066,0.53,4.93,z
5067,0.2,4.72,z
5068,0.57,5.79,z
5069,0.45,2.37,z
5070,0.79,1.46,z
5071,0.32,4.31,z
5072,0.42,4.13,y
5073,0.47,5.54,z
5074,0.2,9.58,x
5075,0.86,3.1,x
5076,0.1,6.21,y
5077,0.11,4.69,x
5078,0.01,5.41,x
5079,0.86,-0.88,z
5080,0.7,3.13,y
5081,1,5.26,z
5082,0.51,6.06,x
5083,0.73,3.08,x
5084,0.85,3.05,z
5085,0.32,3.75,x
5086,0.31,6.07,z
5087,0.1,2.04,z
5088,0.74,1.83,x
5089,0.78,8.16,z
5090,0.69,3.96,z
5091,0.71,5.64,z
5092,0.11,3.68,x
5093,0.73,3.63,z
5094,0.5,7.66,z
5095,0.45,6.79,y
5096,0.94,3.85,y
5097,0.48,3.91,y
5098,0.16,5.7,y
5099,0.44,3.39,z
5100,0.52,5.72,y
5101,0.57,6.3,y
5102,0.74,1.23,y
5103,0.82,0.06,y
5104,0.41,2.1,z
5105,0.62,6.37,y
5106,0.63,4.23,y
5107,0.66,6.93,y
5108,0.71,2.36,x
5109,0.13,4.76,y
5110,0.2,4.08,x
5111,0.28,5.99,z
5112,0.55,3.34,y
5113,0.63,6.03,z
5114,0.39,6.25,x
5115,0.69,6.6,x
5116,0.68,8.73,x
5117,0.36,3.51,x
5118,0.13,4.85,x
5119,0.37,9.14,x
5120,0.46,4.92,z
5121,0.39,0.65,x
5122,0.52,4.56,z
5123,0.02,8.98,z
5124,0.62,1.07,x
5125,0.81,3.04,z
5126,0.57,3.41,y
5127,0.76,2.86,y
5128,0.14,4.91,x
5129,0.77,4.18,x
5130,0.17,7.48,x
5131,0.6,7.52,y
5132,0.29,1.91,y
5133,0.26,4.9,x
5134,0.1,2.06,z
5135,0.4,3.29,z
5136,0.98,6.55,z
5137,0.42,4.82,x
5138,0.53,5.54,x
5139,0.78,4.22,z
5140,0.34,1.61,x
5141,0.06,2.93,y
5142,0.42,5.18,x
5143,0.97,4.95,x
5144,0.35,7.25,y
5145,0.52,5.73,x
5146,0.46,4.76,z
5147,0.64,3.64,y
5148,0.42,5.02,y
5149,0.44,5.51,z
5150,0.26,3.56,z
5151,0.02,4.16,z
5152,0.36,6.74,x
5153,0.43,2.91,y
5154,0.23,5.34,z
5155,0.96,7.03,x
5156,0.21,4.65,y
5157,0.95,4.75,y
5158,0.72,6.07,y
5159,0.91,5.17,z
5160,0.3,3.92,y
5161,0.92,2.74,x
5162,0.93,5,x
5163,0.45,4.1,x
5164,0.76,4.98,z
5165,0.62,3.64,y
5166,0.81,5.27,z
5167,0.3,3.86,z
5168,0.32,6.46,y
5169,0.6,7.03,x
5170,0.01,3.08,z
5171,0.84,7.76,z
5172,0.51,6.32,z
5173,0.87,6.06,x
5174,0.87,1.36,y
5175,0.4,7.64,z
5176,0.47,5.1,x
5177,0.07,6.89,z
5178,0.33,2.36,x
5179,0.82,2.71,z
5180,0.6,6.55,y
5181,0.9,6.68,y
5182,0.51,5.19,y
5183,0.99,9.26,x
5184,0.17,7.72,x
5185,0.2,3.41,z
5186,0.95,7.36,y
5187,0.53,5.94,x
5188,0.41,8.04,x
5189,0.86,4.31,y
5190,0.06,4.89,x
5191,0.37,2.64,y
5192,0.09,0.68,z
5193,0.96,7.16,x
5194,0.7,7.4,z
5195,0.05,5.16,x
5196,0.92,5.65,x
5197,0.22,4.48,z
5198,0.87,2.54,y
5199,0.51,5.77,y
5200,0.5,5.76,x
5201,0.54,3.87,y
5202,0.83,2.99,y
5203,0.84,4.43,x
5204,0.78,4.25,x
5205,0.67,4.29,z
5206,0.53,4.97,x
5207,0.87,7.33,z
5208,0.51,4.84,y
5209,0.23,4.52,z
5210,0.94,2.55,y
5211,0.02,8.39,y
5212,0.45,5.93,y
5213,0.65,7.47,z
5214,0.57,5.77,y
5215,0.31,4.63,x
5216,0.34,5.09,y
5217,0.01,3.19,z
5218,0.04,7.39,y
5219,0.12,1.86,x
5220,0.24,5.98,y
5221,0.73,5.17,y
5222,0.49,5.28,x
5223,0.94,2.82,x
5224,0.32,3.98,z
5225,0.64,4.73,x
5226,0.84,6.68,y
5227,0.95,4.52,x
5228,0.75,6.22,y
5229,0.54,6.26,x
5230,0.13,3.97,y
5231,0.77,0.85,y
5232,0.71,6.95,x
5233,0.71,6.95,x
5234,0.78,5.29,y
5235,0.8,5.34,x
5236,0.12,3.66,y
5237,0.38,4.01,x
5238,0.4,7.99,z
5239,0.8,3.98,z
5240,0.95,6.12,x
5241,0.85,6.08,x
5242,0.69,6.95,z
5243,0.62,6.8,y
5244,0.82,5.36,y
5245,0.23,4.89,y
5246,0.96,5.82,x
5247,0.29,5.31,y
5248,0.55,4.88,z
5249,0.36,9.34,x
5250,0.6,8.04,y
5251,0.21,2.55,y
5252,0.86,5.56,x
5253,0.44,5.96,z
5254,0.5,6.3,z
5255,0.96,4.47,y
5256,0.65,2.67,z
5257,0.03,6.82,y
5258,0.3,8.04,y
5259,0.09,7.86,z
5260,0.21,2.45,y
5261,0.73,4,y
5262,0.48,7.83,x
5263,0.11,2.79,z
5264,0.29,7.77,y
5265,0.25,6.17,z
5266,0.78,3.22,x
5267,0.62,6.62,y
5268,0.26,7.67,z
5269,0.81,8.81,x
5270,0.22,6.87,y
5271,0.81,0.7,y
5272,0.18,3.53,x
5273,0.42,5.35,x
5274,0.87,4.47,y
5275,0.27,4.47,y
5276,0.35,5.05,x
5277,0.43,4.27,y
5278,0.28,4.1,x
5279,0.19,3.24,y
5280,0.45,4,x
5281,0.6,1.88,x
5282,0.31,5.38,x
5283,0.45,7.56,x
5284,0.95,6.99,y
5285,0.58,1.1,x
5286,0.75,4.9,x
5287,0.65,0.56,z
5288,0.23,7.66,x
5289,0.33,2.67,z
5290,0.62,4.25,z
5291,0.13,5.39,x
5292,0.6,4.18,y
5293,0.54,6.14,z
5294,0.87,5.9,z
5295,0.75,3.37,z
5296,0.38,5,y
5297,0.8,0.29,x
5298,0.8,3.96,z
5299,0.87,3.96,z
5300,0.88,7.16,x
5301,0.72,6.41,y
5302,0.98,2.7,z
5303,0.52,6.04,x
5304,0.49,5.98,z
5305,0.56,6.55,y
5306,0.53,3.43,y
5307,0.46,5.51,z
5308,0.89,7.82,y
5309,0.15,3.08,x
5310,0.61,6.26,x
5311,0.07,5.2,y
5312,0.59,5.56,x
5313,0.57,1.91,z
5314,0.92,-1.7,x
5315,0.15,6.78,x
5316,0.81,4.94,x
5317,0.68,3.23,z
5318,0.51,6.07,z
5319,0.74,4.19,z
5320,0.05,5.73,z
5321,0.99,10.06,y
5322,0.46,2,x
5323,0.76,3.03,z
5324,0.87,6.09,y
5325,0.55,7.57,y
5326,0.3,8.22,x
5327,0.44,8.15,x
5328,0.01,2.83,x
5329,0.22,6.68,x
5330,0.61,2.22,y
5331,0.49,5.7,z
5332,0.27,6.99,z
5333,0.46,4.63,x
5334,0.46,3.97,y
5335,0.38,5.06,z
5336,0.45,6.54,z
5337,0.44,7.64,x
5338,0.12,4.47,z
5339,0.68,4.1,z
5340,0.43,5.48,y
5341,0.62,5.16,y
5342,0.3,5.96,z
5343,0.65,1.01,y
5344,0.41,4.78,x
5345,0.09,4.94,x
5346,0.29,5.96,z
5347,0.68,7.24,y
5348,0.33,3.62,x
5349,0.32,4.05,y
5350,0.29,2.66,y
5351,0.28,5.17,x
5352,0.97,9.72,x
5353,0.3,4.01,x
5354,0.73,-0.63,x
5355,0.79,7,y
5356,0.62,4.72,z
5357,0.32,6.21,y
5358,0.96,4.13,z
5359,0.23,3.53,x
5360,0.19,1.97,x
5361,0.38,6.6,y
5362,0.72,3.36,z
5363,0.95,4.96,y
5364,0.16,6.64,z
5365,0.54,6.81,z
5366,0.31,6.99,y
5367,0.82,7.1,x
5368,0.7,4.47,z
5369,0.63,6.86,x
5370,0.29,8.1,y
5371,0.41,5.92,y
5372,0.31,6.42,z
5373,0.75,7.34,x
5374,0.93,8.44,y
5375,0.85,2.54,z
5376,0.94,7.91,y
5377,0.91,4.39,y
5378,0.23,6.34,z
5379,0.65,5.58,y
5380,0.48,3.87,x
5381,0.51,1.93,x
5382,0.84,4.55,y
5383,0.43,2.64,x
5384,0.03,7.69,x
5385,0.58,6.89,z
5386,0.13,7.73,z
5387,0.79,4.74,z
5388,0.83,4.21,x
5389,0.91,4.63,z
5390,0.65,3.92,x
5391,0.84,6.31,z
5392,0.38,5.45,z
5393,0.48,2.65,x
5394,0.16,4.09,z
5395,0.48,9.74,x
5396,0.79,2.42,y
5397,0.75,5.29,z
5398,0.93,7.06,x
5399,0.22,2.22,y
5400,0.01,4.08,x
5401,0.17,1.71,y
5402,0.34,6.69,x
5403,0.67,5.51,z
5404,0.97,8.1,x
5405,0.64,6.76,x
5406,0.69,5.88,z
5407,0.78,3.22,z
5408,0.42,1.14,x
5409,0.46,6.23,y
5410,0.12,7.39,x
5411,0.9,9.44,x
5412,0.36,3.46,z
5413,0.67,6.29,z
5414,0.78,2.82,x
5415,0.19,4.13,x
5416,0.58,4.53,y
5417,0.25,4.08,x
5418,0.32,6.43,y
5419,0.66,4.17,z
5420,0.18,4.33,y
5421,0.68,6.28,z
5422,0.46,2.68,y
5423,0.39,6.11,y
5424,0.11,3.53,x
5425,0.68,8.23,y
5426,1,7.07,z
5427,0.28,4.53,y
5428,0.94,6.05,z
5429,0.99,5.64,z
5430,0.75,4.99,z
5431,0.4,5.48,x
5432,0.55,2.96,y
5433,0.2,6.27,y
5434,0.32,3.36,x
5435,0.69,5.52,x
5436,0.97,7.38,z
5437,0.56,5.4,x
5438,0.1,4.15,y
5439,0.33,3.27,x
5440,0.49,2.39,z
5441,0.27,6.02,y
5442,0.59,8.5,x
5443,0.76,5.57,x
5444,0.81,6.12,z
5445,0.09,4.95,y
5446,0.92,5.2,z
5447,0.12,2.77,z
5448,0.49,1.97,y
5449,0.96,6.41,x
5450,0.58,1.71,z
5451,0.58,1.64,x
5452,0,3.54,y
5453,0.9,9.66,x
5454,0.44,4.64,z
5455,0.03,4.42,x
5456,0.8,8.66,z
5457,0.61,6.36,y
5458,0.99,4.38,y
5459,0.27,7.28,z
5460,0.13,6.57,y
5461,0.72,4.7,z
5462,0.59,4.7,z
5463,0.93,5.59,x
5464,0.51,2.81,y
5465,0.49,5.6,x
5466,0.92,6.66,y
5467,0.9,3.25,x
5468,0.4,4.04,x
5469,0.35,2.71,z
5470,0.5,7.78,x
5471,0.93,2.35,z
